id,salesOrderId,customerId,partnerFunction
8b0d31d9-3e0f-4f56-82ca-df93559b7262,23188271-3199-4856-9a2e-d7ebb79d9c9f,42580fca-0e8a-4b72-8342-b7c741190aa7,SOLD_TO
5e29fe47-c0e3-4ba2-b027-5f0eca76818e,23188271-3199-4856-9a2e-d7ebb79d9c9f,05c0deef-1297-41f8-ac63-42ba27e45f34,SHIP_TO
a06f022a-21b1-4312-9301-96c5b33a16a1,e129d681-d060-4cb8-a485-655b2e3c846d,83c5b079-d633-414a-b375-2d508f3089ac,SOLD_TO
3ffa2c0f-2edd-4684-800e-2b669bba4d8d,e129d681-d060-4cb8-a485-655b2e3c846d,2729166e-1eb7-4add-9ca9-20ec9f283c47,SHIP_TO
479a6772-0b64-4d96-b15a-53b1973c7f64,9462baee-559e-416a-a8a0-bd3e6e83b43d,26d4b373-bde8-4991-8e6f-e0c3f4abd219,SOLD_TO
3f1e1d2c-adeb-462c-9a9c-a577d90e3022,9462baee-559e-416a-a8a0-bd3e6e83b43d,c6e2c133-b425-4ab1-918b-65f29e2cd965,SHIP_TO
d51e4b4e-c0e8-452b-978b-7565a8fb50a8,13ca5d39-2cdc-4a66-a9e8-09fdd3414389,42580fca-0e8a-4b72-8342-b7c741190aa7,SOLD_TO
6cdbadc3-2061-481e-8d3a-bc49c67b235c,13ca5d39-2cdc-4a66-a9e8-09fdd3414389,22fab182-e8d2-44e3-8bec-19570919be08,SHIP_TO
dce31d64-f481-4957-9ba2-05dd948cefc9,59ad9832-3312-47c1-9474-884f7b656747,37a7a6be-5b9e-4038-bb16-75500ce74640,SOLD_TO
3ffe2a2b-a011-453d-8073-4a3b716d831f,59ad9832-3312-47c1-9474-884f7b656747,30bb7aaa-468b-47d9-8a49-1469edbdc74f,SHIP_TO
d4d77a54-d75b-411d-a47f-542531c8d1a2,87f3dbc5-6bb2-4860-af34-1e06e9c97367,1ec25658-f7a5-4f8c-968e-c4252148ee5d,SOLD_TO
004d9ab2-541c-415b-b501-0e4d76d74d46,87f3dbc5-6bb2-4860-af34-1e06e9c97367,ca66635d-cd5c-4b95-8081-9ed470ee0c4f,SHIP_TO
776212cc-da89-45e2-b0b6-80ea9c5fc541,b44c8608-efa8-4943-9808-9b00d365172f,3b06f677-2b64-4548-85d8-17ce13f3e030,SOLD_TO
de8de910-598b-41b4-9827-019e9379f4d8,b44c8608-efa8-4943-9808-9b00d365172f,3b06f677-2b64-4548-85d8-17ce13f3e030,SHIP_TO
ffdf413a-199e-4076-8c02-df91deacabf4,58cf0256-e360-4b2c-8123-5a19ff2a09d4,71910904-e940-496b-8d38-f72d0ae26636,SOLD_TO
6e4ec0d1-ec11-4149-9a5b-7fc61e290029,58cf0256-e360-4b2c-8123-5a19ff2a09d4,d5da28fe-0fdf-45f5-b18a-b1bcdbbf4edb,SHIP_TO
26c05808-c5bf-4aea-baa3-ed43c11c12a4,4952e22e-7c4f-4076-bb3c-fc49aa6ff299,9bdd26ed-c368-43c7-89aa-dc3f798ea028,SOLD_TO
ad58ac96-d472-423a-9d19-a76f2db226f7,4952e22e-7c4f-4076-bb3c-fc49aa6ff299,8a5de554-d5b7-46cd-9cf0-b605ec9758ad,SHIP_TO
6a1e9e1d-facf-48d4-bd89-006d0dae69b6,65194fdf-6950-450c-a25f-54431fd6d1df,80362182-5357-489f-a3d9-bb50369dc679,SOLD_TO
92082b6c-7480-4b5d-9deb-364c233fc31b,65194fdf-6950-450c-a25f-54431fd6d1df,f7bf6a72-80f2-4fb4-bfe5-e4ee209eb0c0,SHIP_TO
b09b1624-396c-4bae-97f2-201a412d8b3a,3034bde8-1a63-4b1d-93e9-b47fd3237460,02ee2de6-b631-42ad-9200-bd5f10022153,SOLD_TO
3fc1390e-4f31-4e8c-a9c1-bd9a78ee1282,3034bde8-1a63-4b1d-93e9-b47fd3237460,81bc3cee-7f5d-48dc-8181-6d603aa2266c,SHIP_TO
51f351b5-571f-4c11-815d-2b77a9726077,15b8677c-aff4-41ff-b7bb-2793092f3963,ca3fcf82-2d0d-4d30-bd5b-17ffb8afce7c,SOLD_TO
2b506c61-2214-486d-826e-e72edda0c7db,15b8677c-aff4-41ff-b7bb-2793092f3963,f7bf6a72-80f2-4fb4-bfe5-e4ee209eb0c0,SHIP_TO
29990c5c-42d2-44b2-9620-9f5e2954ec8c,89fbe077-de0c-4092-9ccf-983bc69d5ec3,02ee2de6-b631-42ad-9200-bd5f10022153,SOLD_TO
fe76d365-4fc8-4b9f-b90b-57f61bf785a0,89fbe077-de0c-4092-9ccf-983bc69d5ec3,3c5ae9b9-1a54-4457-a999-b70388f62882,SHIP_TO
3f432475-b93a-4056-8756-63a3812e0a46,d6265e3b-14d7-4b36-afe3-194231ffc73f,71910904-e940-496b-8d38-f72d0ae26636,SOLD_TO
a0a00d97-b006-4efa-bae5-bf6e9b4afb79,d6265e3b-14d7-4b36-afe3-194231ffc73f,80362182-5357-489f-a3d9-bb50369dc679,SHIP_TO
47af6e20-00af-4690-82a5-53b43b1ce187,515da30d-ec73-44f8-be2a-4a9384d9bbf5,8a5de554-d5b7-46cd-9cf0-b605ec9758ad,SOLD_TO
