id,invoiceNumber,salesOrderId,deliveryId,customerId,invoiceDate,dueDate,totalNetAmount,totalTaxAmount,totalGrossAmount,currency,status
aa413958-e571-4aff-9630-69729cb7bddb,INV-0001,23188271-3199-4856-9a2e-d7ebb79d9c9f,b56f3ac3-49d2-43e1-9289-6ca7eff2a7f0,42580fca-0e8a-4b72-8342-b7c741190aa7,2025-07-22,2025-08-06,54232.84,9761.91,63994.75,USD,PARTIALLY_PAID
86056761-b2c8-4aec-bec7-140bb405b796,INV-0002,e129d681-d060-4cb8-a485-655b2e3c846d,ae02d6dc-49f7-4c45-acb3-da9ec008544c,83c5b079-d633-414a-b375-2d508f3089ac,2024-08-19,2024-10-18,46504.13,8370.74,54874.87,USD,PAID
960ee502-26a0-4452-ae83-6e28f3bbdbea,INV-0003,9462baee-559e-416a-a8a0-bd3e6e83b43d,5c43b73b-6156-4c08-b048-0c65523f7c98,26d4b373-bde8-4991-8e6f-e0c3f4abd219,2024-03-21,2024-05-20,2164.86,389.67,2554.53,USD,PAID
d348c7ce-1c37-4f86-9a30-8c30a22e459e,INV-0004,59ad9832-3312-47c1-9474-884f7b656747,d4d92dd5-8805-48b0-baa8-61ce69fee3d8,37a7a6be-5b9e-4038-bb16-75500ce74640,2024-04-07,2024-05-07,38232.2,6881.8,45114,USD,PAID
2283ecc8-a908-4ff1-8e62-171dfb899f3f,INV-0005,4952e22e-7c4f-4076-bb3c-fc49aa6ff299,b6695a40-3b81-474a-8983-8b9fd2cacfba,9bdd26ed-c368-43c7-89aa-dc3f798ea028,2024-12-07,2025-01-21,41876.31,7537.74,49414.05,USD,PARTIALLY_PAID
53a7fec9-b24e-439b-8cb6-6154700cafb8,INV-0006,15b8677c-aff4-41ff-b7bb-2793092f3963,5d214825-9e2e-47e3-a9ce-40c65190ff81,ca3fcf82-2d0d-4d30-bd5b-17ffb8afce7c,2024-06-18,2024-08-17,79445.05,14300.11,93745.16,USD,PAID
3987f6dd-1aa4-4a8e-bbc0-4e36e2bca7d6,INV-0007,89fbe077-de0c-4092-9ccf-983bc69d5ec3,114d94fd-24ee-496b-b02f-801f2803b9a8,02ee2de6-b631-42ad-9200-bd5f10022153,2025-02-05,2025-04-06,15801.01,2844.18,18645.19,USD,PAID
0aae6acf-d488-4be6-8a66-ff1a1a511ff1,INV-0008,d6265e3b-14d7-4b36-afe3-194231ffc73f,a7b51261-7f14-42b0-b949-dcc0819b7fe3,71910904-e940-496b-8d38-f72d0ae26636,2024-12-19,2025-02-17,49166.87,8850.04,58016.91,USD,OPEN
957e9810-112d-4330-96ce-f4296d4a19fd,INV-0009,1cea01f0-b4f5-4c09-bdf6-591ab1b9e163,d67f4a8e-981f-4b9b-bb3f-648797d5f4bd,3b06f677-2b64-4548-85d8-17ce13f3e030,2025-02-01,2025-03-18,17353.4,3123.61,20477.01,USD,PAID
e7b908dc-f216-4648-99dc-54eb973c2bfa,INV-0010,a3ec2c6e-1df8-4779-844e-842614bfaee8,dbfc85a0-dd45-4b6c-aefd-9409c947cb23,912fdc8a-b1b4-4642-96ce-14002d68546b,2025-03-12,2025-04-26,64861.05,11674.99,76536.04,USD,PAID
fa4cf63b-af7d-4481-9804-fc6e0cd37975,INV-0011,c6c7a9ce-91ab-40b1-abe5-ba3966e49900,d0a1a50a-9ed8-4ef9-847f-c27565251457,b3c1c861-53a8-42d1-9896-d9f56201110a,2025-01-13,2025-02-27,4762.31,857.22,5619.53,USD,PAID
a95211e0-8e48-4097-8d68-92b543c5b060,INV-0012,e6065696-6484-4d6b-8b06-767d3ca689eb,5a62b9a3-8036-4e18-8750-f5cfb02ede5b,42580fca-0e8a-4b72-8342-b7c741190aa7,2024-03-30,2024-04-14,9984.36,1797.18,11781.54,USD,PAID
578500cb-69b0-4dcd-9bbd-e7a98d3a186d,INV-0013,78a93fde-0ab3-4b34-b64c-5b08e277e02a,470caa69-7d5d-48f8-9601-9eb93d4774a5,02ee2de6-b631-42ad-9200-bd5f10022153,2024-11-09,2025-01-08,25774.14,4639.35,30413.49,USD,OPEN
30e708a6-b8a5-4627-a97d-02be4c81250f,INV-0014,ce64080d-a8be-44d8-a45d-bb12fedec6d8,7582dafc-bdcc-4eaf-b4a3-f797052a1acb,caf3f907-45cd-46ed-b913-b2e0a69d130d,2024-09-16,2024-10-31,70828.32,12749.1,83577.42,USD,PAID
3048c7f5-a5ce-418a-943d-67314cfa5672,INV-0015,eb8ae7cd-dee0-494b-be7c-10f1ca189b05,23771cf6-542c-47f0-9e70-6526be9f9615,8c602997-9b9f-4dcb-b137-a3cb262691ec,2025-02-07,2025-02-22,27188.3,4893.89,32082.19,USD,PAID
e083227d-199a-4acb-b895-d8146973d0df,INV-0016,a6bebc53-cd23-472a-9daa-411aca1e4494,fe824620-f08f-4801-a787-5e929131dec3,1ee7e4ce-4837-4eee-92cd-0440e3a59c0d,2024-06-06,2024-08-05,38006.87,6841.24,44848.11,USD,PAID
d25eccba-af54-496b-ae22-d13989acab50,INV-0017,a8aa1b41-494a-4a42-ae74-9730a96ff540,9791240b-accd-4a57-9ba6-966015092230,80362182-5357-489f-a3d9-bb50369dc679,2025-01-16,2025-03-02,31706.34,5707.14,37413.48,USD,PAID
80dd1666-8466-4040-aa3f-a6c9b1e00b1e,INV-0018,9b258e96-e98b-4525-952c-5be8fab7de39,f8903a86-2690-4d9e-ad6e-68b38457d4b7,c6e2c133-b425-4ab1-918b-65f29e2cd965,2025-07-06,2025-09-04,1975.53,355.6,2331.13,USD,PAID
0b9b6c71-f05a-485e-91b3-62140bce2bfd,INV-0019,0260ea44-ed20-4226-85d7-5445e6683f6f,cd32783a-de81-42f9-b5e0-2f9d16cfa5bd,1ee7e4ce-4837-4eee-92cd-0440e3a59c0d,2024-10-08,2024-12-07,45196.37,8135.35,53331.72,USD,OPEN
4f205030-d79d-4bd3-baef-447ad85e49f4,INV-0020,032c5400-acc9-48df-92ac-0c3573f78cc5,88ed755b-3fcf-492f-81e0-77fb68999450,92108758-0155-4f43-8061-3c77e859bec3,2025-01-30,2025-03-01,70936.74,12768.61,83705.35,USD,OPEN
5ac55e71-f5a8-4b09-afc6-dc7eb63f311a,INV-0021,cf34fbf3-bd46-4bdb-97c9-d870faeb6104,ae6d10b8-8c05-4d82-a4b3-62ab651ea0b9,d5da28fe-0fdf-45f5-b18a-b1bcdbbf4edb,2025-05-09,2025-06-08,52886.06,9519.49,62405.55,USD,PAID
da07af4c-1a2c-4b9f-af63-e851947e1fef,INV-0022,efe7c48d-4cdb-4f45-9289-173083041d1f,ad60c3c0-2b71-4d96-8b33-fb4d6be2de97,8c602997-9b9f-4dcb-b137-a3cb262691ec,2025-04-11,2025-04-26,45039.35,8107.08,53146.43,USD,PAID
66cd18ef-26d8-49ac-9457-fd689ed5d5ce,INV-0023,f760c9e8-c325-43a0-94b6-f03fe22e667b,97e4002f-f750-472b-95c7-f1e66a557beb,c6e2c133-b425-4ab1-918b-65f29e2cd965,2024-07-04,2024-09-02,58722.58,10570.06,69292.64,USD,PAID
f1a368ef-d2d4-46f5-85b1-41bd42ccb559,INV-0024,43260b32-f5cc-44bd-b3c6-147358cf2ba6,4f0f75fe-63e5-4b9c-ac25-f0d89d0dc899,92108758-0155-4f43-8061-3c77e859bec3,2024-05-02,2024-06-01,49019.42,8823.5,57842.92,USD,OPEN
73803406-ce7f-439b-91cf-e849f064ff0d,INV-0025,729327a6-0334-4a6d-8cf4-b1aec792f5b1,495715a8-b928-4945-b719-0741b2c2e9dc,71910904-e940-496b-8d38-f72d0ae26636,2024-03-15,2024-05-14,22004.72,3960.85,25965.57,USD,OPEN
70652177-343f-47d3-8115-626007d348f7,INV-0026,8b6b6794-2e0b-460b-a5f3-2e80faa590bc,6a410a7d-c750-4a0c-ad44-b0087b3de6fa,81bc3cee-7f5d-48dc-8181-6d603aa2266c,2024-06-16,2024-07-31,5301.63,954.29,6255.92,USD,PAID
042b187d-1fdf-4dc6-ae3e-15ba02a03db4,INV-0027,7347137a-4147-4aa3-80f1-f004b7d568d0,0ff17b1d-7555-4b2e-86b8-20ae84b58adb,e09bfc4d-3954-4bdc-a105-924219deb967,2024-10-04,2024-11-03,35104.71,6318.85,41423.56,USD,PAID
ee226742-358a-4c92-b0ba-2bb1ffd6db04,INV-0028,71d9f5c8-5ffd-4659-ab97-d71b8844683f,45da65a7-cf5d-4c86-999d-062b1550d6a9,0e77fe3f-01f2-45fc-93b5-05ae03af0f55,2025-01-02,2025-02-01,4102.31,738.42,4840.73,USD,PAID
829e21ae-271a-4893-b006-e451896a6105,INV-0029,bf472d24-9eca-48fb-be9a-a81a3218a3be,d0c0dfef-ef3a-4f8c-88e0-5237565cd8f8,37a7a6be-5b9e-4038-bb16-75500ce74640,2024-04-26,2024-05-26,51272.46,9229.04,60501.5,USD,PAID
387caad7-23dd-4d0c-a71d-e477270bf289,INV-0030,1357d9da-d309-4ef8-9336-0a89afb29f80,06009a51-25b7-496f-a2ef-959a69c2c371,9bdd26ed-c368-43c7-89aa-dc3f798ea028,2025-02-04,2025-03-21,78613.07,14150.35,92763.42,USD,PAID
25b43d3e-37e5-4288-8ca6-86e5aa043539,INV-0031,23465de0-4e4e-4245-b9c3-4ba47ecc8d2a,d4721184-35f0-4318-9045-0f1f6246f4f5,32db9aa9-2ba1-4ae9-ab60-33e573ed4aca,2024-03-28,2024-05-12,45169.12,8130.44,53299.56,USD,PAID
50250d30-a8f6-4f7e-a8fc-9ad5f6982574,INV-0032,4076d542-b084-4712-ac54-be0e53259773,a55ed814-f301-4722-a7d9-85f7ec8dd020,90b398c9-1db5-42d0-9b56-9ec752d60a8c,2025-05-28,2025-06-12,21928.62,3947.15,25875.77,USD,PAID
18bde2fc-7958-4d2c-98a5-5075a83c1e7c,INV-0033,176095b7-4ec5-44c3-8ead-b36cf37f7076,53f77482-7750-4f50-9639-2d7b2b22fac5,26d4b373-bde8-4991-8e6f-e0c3f4abd219,2024-01-28,2024-03-28,60203.27,10836.59,71039.86,USD,PAID
481252a5-07ce-4cc7-92be-16ff4d949e5b,INV-0034,073a143c-450d-43a2-99cd-df0fd3c39ea9,043c5195-3ff3-4f22-b5f2-c7fb73b2793a,0e77fe3f-01f2-45fc-93b5-05ae03af0f55,2024-10-10,2024-11-09,39596.38,7127.35,46723.73,USD,PARTIALLY_PAID
1352c3ea-e200-4e99-bf54-a83b2f63254f,INV-0035,fdc8c787-2f27-403d-b66d-07bccbbf7d27,f6ae39e7-cebd-4498-91a8-5c02e4852648,0e77fe3f-01f2-45fc-93b5-05ae03af0f55,2025-02-13,2025-03-15,70914.59,12764.63,83679.22,USD,PAID
a3d9ce87-e642-4cc3-8a23-eb089fa5cba2,INV-0036,30d7249b-7a25-48b8-97f8-21aa5659b9c6,357ff492-4976-46c0-b48d-f0d3488a47a7,57b43ac8-b7f5-4cbe-9ff1-fbb6928e0707,2024-05-29,2024-06-13,7551.31,1359.24,8910.55,USD,OPEN
8e07eb64-f59b-42fb-aaad-8ef27a1bea01,INV-0037,3aa4de01-3d16-40d6-833c-f91cb68e1ff3,c3bd4660-0fdf-49f5-8df3-3d1857bf7484,83c5b079-d633-414a-b375-2d508f3089ac,2024-10-04,2024-12-03,27920.02,5025.6,32945.62,USD,OPEN
c0690609-d33e-491b-b2e8-b09636a6f059,INV-0038,761a8c9b-d65c-499e-b264-86f66e79c741,17066e63-1b63-4124-b659-bef033bb3e09,ca66635d-cd5c-4b95-8081-9ed470ee0c4f,2024-05-04,2024-07-03,64719.86,11649.57,76369.43,USD,PAID
bf27271d-0643-407f-afd2-30064d820281,INV-0039,b43c8276-dc1a-4df7-88bb-8e52fd09ed4a,61dae732-29fa-4e9f-a255-e16c1a6de27e,90b398c9-1db5-42d0-9b56-9ec752d60a8c,2024-10-17,2024-11-01,39407.26,7093.31,46500.57,USD,PAID
67cb336b-b517-4c71-9528-785a9d919dbd,INV-0040,dd065b09-1b5d-49a4-8210-b5b3951e5645,a7c9ef3f-ce03-4c1b-911c-0593c3e1e3d7,26d4b373-bde8-4991-8e6f-e0c3f4abd219,2025-03-11,2025-05-10,20163.83,3629.49,23793.32,USD,PARTIALLY_PAID
9385c28f-f8c7-4550-a82a-2a2cef8b64b6,INV-0041,d38e52a1-46fe-4591-8027-a5e61a23532b,ea027d0e-5774-41ef-92e3-ad7d3c56cc4b,81bc3cee-7f5d-48dc-8181-6d603aa2266c,2025-06-19,2025-08-03,78136.89,14064.64,92201.53,USD,OPEN
50dcc059-f8d8-407e-b81e-06fded83dbe8,INV-0042,06796eaa-729e-4695-8d1b-5aa986ea59d1,52614fa0-f89b-4b9c-907e-ccffb750d798,96bfd297-d290-4d5d-8310-e56a6cf7f1a4,2025-05-07,2025-06-06,29576.68,5323.8,34900.48,USD,OPEN
c85f7044-2847-45e3-958b-86132cd26b4d,INV-0043,6e97b3f4-b843-48f9-ba04-48ed827a9a73,097d9bb7-f51d-4592-bef9-48a45b29504d,d5da28fe-0fdf-45f5-b18a-b1bcdbbf4edb,2024-05-23,2024-06-22,56309.69,10135.74,66445.43,USD,PAID
2a6aa526-8c69-4234-92b0-b139b6d946db,INV-0044,435eba39-f740-4abb-84e5-80230dca9ae4,1776e9c4-b619-474c-b5ea-b3469ce1d2ca,42580fca-0e8a-4b72-8342-b7c741190aa7,2024-04-25,2024-05-10,20808.75,3745.57,24554.32,USD,PAID
